"Activity","Subject","variable","value"
"SITTING",10,40,-0.596116271283258
"STANDING",10,40,-0.605014811783196
"WALKING",10,40,-0.176003777762687
"WALKING_DOWNSTAIRS",10,40,-0.0933115238128125
"WALKING_UPSTAIRS",10,40,-0.205733713321636
"LAYING",11,40,-0.595303144641248
"SITTING",11,40,-0.598457780278531
"STANDING",11,40,-0.604886977432674
"WALKING",11,40,-0.338059768711685
"WALKING_DOWNSTAIRS",11,40,-0.213173995361216
"WALKING_UPSTAIRS",11,40,-0.362325282497288
"LAYING",12,40,-0.601370216513872
"SITTING",12,40,-0.60855456226386
"STANDING",12,40,-0.605736466078446
"WALKING",12,40,-0.216009503152813
"WALKING_DOWNSTAIRS",12,40,-0.153828979531464
"WALKING_UPSTAIRS",12,40,-0.326609725707612
"LAYING",13,40,-0.602841604257323
"SITTING",13,40,-0.598516189463807
"STANDING",13,40,-0.615774742571177
"WALKING",13,40,-0.174015896411719
"WALKING_DOWNSTAIRS",13,40,-0.154798328885655
"WALKING_UPSTAIRS",13,40,-0.318594652444451
"LAYING",14,40,-0.610177608005162
"SITTING",14,40,-0.623596741200323
"STANDING",14,40,-0.631031797134703
"WALKING",14,40,-0.269661976895567
"WALKING_DOWNSTAIRS",14,40,-0.0195228493394599
"WALKING_UPSTAIRS",14,40,-0.14535777328429
"LAYING",15,40,-0.608613628686864
"SITTING",15,40,-0.60012367783369
"STANDING",15,40,-0.611901288939454
"WALKING",15,40,-0.276794393081715
"WALKING_DOWNSTAIRS",15,40,-0.117572917318394
"WALKING_UPSTAIRS",15,40,-0.286174878885419
"LAYING",16,40,-0.625143853489437
"SITTING",16,40,-0.595799444811891
"STANDING",16,40,-0.614099873786586
"WALKING",16,40,-0.3394456086821
"WALKING_DOWNSTAIRS",16,40,-0.202456371341026
"WALKING_UPSTAIRS",16,40,-0.365971891945078
"LAYING",17,40,-0.599068861906119
"SITTING",17,40,-0.601819633581572
"STANDING",17,40,-0.61632620123835
"WALKING",17,40,-0.276365528036381
"WALKING_DOWNSTAIRS",17,40,-0.230166805184095
"WALKING_UPSTAIRS",17,40,-0.298654572097386
"LAYING",18,40,-0.594513102996289
"SITTING",18,40,-0.597541256457032
"STANDING",18,40,-0.625999518491724
"WALKING",18,40,-0.342449748521331
"WALKING_DOWNSTAIRS",18,40,-0.34903537222669
"WALKING_UPSTAIRS",18,40,-0.409864052034829
"LAYING",19,40,-0.60334569421077
"SITTING",19,40,-0.617821356990207
"STANDING",19,40,-0.619975149879974
"WALKING",19,40,-0.0582919209468765
"WALKING_DOWNSTAIRS",19,40,0.131192702848313
"WALKING_UPSTAIRS",19,40,-0.172522155198731
"LAYING",20,40,-0.603095427272892
"SITTING",20,40,-0.611578372189852
"STANDING",20,40,-0.613397381806977
"WALKING",20,40,-0.0854573801276848
"WALKING_DOWNSTAIRS",20,40,-0.0716770818880729
"WALKING_UPSTAIRS",20,40,-0.206644877774993
"LAYING",21,40,-0.613675758877626
"SITTING",21,40,-0.602270092758525
"STANDING",21,40,-0.620404311959377
"WALKING",21,40,-0.200489403444651
"WALKING_DOWNSTAIRS",21,40,-0.133868540547457
"WALKING_UPSTAIRS",21,40,-0.272735241321592
"LAYING",22,40,-0.597893437112844
"SITTING",22,40,-0.608107074555336
"STANDING",22,40,-0.628399926772542
"WALKING",22,40,-0.121473745947508
"WALKING_DOWNSTAIRS",22,40,-0.131500793139993
"WALKING_UPSTAIRS",22,40,-0.16862879193324
"LAYING",23,40,-0.598603350517156
"SITTING",23,40,-0.591440568414947
"STANDING",23,40,-0.618083379460514
"WALKING",23,40,-0.0788643651638404
"WALKING_DOWNSTAIRS",23,40,-0.000956979995532116
"WALKING_UPSTAIRS",23,40,-0.243025295195815
"LAYING",24,40,-0.598072529579968
"SITTING",24,40,-0.610192323390129
"STANDING",24,40,-0.615423749421368
"WALKING",24,40,-0.309113759019627
"WALKING_DOWNSTAIRS",24,40,-0.21659658268443
"WALKING_UPSTAIRS",24,40,-0.340369136263789
"LAYING",25,40,-0.570587047807129
"SITTING",25,40,-0.604509610361155
"STANDING",25,40,-0.613945839713307
"WALKING",25,40,-0.385361945079112
"WALKING_DOWNSTAIRS",25,40,-0.335078553679007
"WALKING_UPSTAIRS",25,40,-0.426504552177634
"LAYING",26,40,-0.595254205333886
"SITTING",26,40,-0.603944118434526
"STANDING",26,40,-0.613241650652751
"WALKING",26,40,-0.271406731805143
"WALKING_DOWNSTAIRS",26,40,-0.172518329775734
"WALKING_UPSTAIRS",26,40,-0.305115745183321
"LAYING",27,40,-0.594096888281148
"SITTING",27,40,-0.603338306546586
"STANDING",27,40,-0.610806197582251
"WALKING",27,40,-0.266781630894431
"WALKING_DOWNSTAIRS",27,40,-0.158161316639386
"WALKING_UPSTAIRS",27,40,-0.342018443149963
"LAYING",28,40,-0.631110193103237
"SITTING",28,40,-0.616165945460807
"STANDING",28,40,-0.618516796926162
"WALKING",28,40,-0.285088922798751
"WALKING_DOWNSTAIRS",28,40,-0.12543827491249
"WALKING_UPSTAIRS",28,40,-0.295372554581159
"LAYING",29,40,-0.584565825026074
"SITTING",29,40,-0.599502576192753
"STANDING",29,40,-0.609616980359735
"WALKING",29,40,-0.216790400944455
"WALKING_DOWNSTAIRS",29,40,-0.166116177694424
"WALKING_UPSTAIRS",29,40,-0.245353572484911
"LAYING",30,40,-0.610720545199801
"SITTING",30,40,-0.61101762170298
"STANDING",30,40,-0.622602898948469
"WALKING",30,40,-0.245849040422536
"WALKING_DOWNSTAIRS",30,40,-0.215537696652668
"WALKING_UPSTAIRS",30,40,-0.351435833812871
